Original Dist2 [id: 1]	
4.71734	2.90418
3.59357	4.15916
3.63373	4.7757
4.14487	2.57858
5.57377	5.81259
3.76204	3.14559
5.66238	5.04157
4.80689	3.372
2.79361	4.04081
5.3527	2.29928
2.67316	2.91105
5.07152	3.90594
4.27281	3.72361
4.78936	4.32556
4.56832	4.58799
2.85379	3.1635
4.97732	5.89582
5.16506	4.54802
3.58356	4.54773
5.31099	4.20403
3.85063	3.94405
4.3246	4.09427
4.0186	1.4936
3.04683	3.95518
3.05815	3.62056
3.48498	2.30277
3.95441	3.79446
5.56088	5.0233
4.08265	3.33167
3.47414	3.86532
4.01269	3.00405
3.00337	2.42802
4.85125	2.24071
5.03787	4.93108
5.71508	2.99002
4.8723	3.1386
4.7011	2.3169
3.28158	3.5496
5.16608	6.28552
3.94564	4.26565
3.16425	3.17441
3.41878	3.40719
4.15733	4.11544
3.37099	4.75693
4.83578	5.11101
4.98364	4.00074
3.15375	4.03501
4.40589	3.9001
3.69212	3.77281
4.30044	3.18553
3.77123	3.13192
4.27624	1.4148
5.30281	4.23449
5.80222	4.34256
3.79935	4.18448
4.26584	3.40389
5.60478	4.72891
3.6247	3.03285
1.05569	5.74177
4.15303	1.56191
4.80654	4.49588
3.05326	3.55629
5.52213	3.64337
5.20528	4.97416
2.45826	1.75709
3.12466	2.8491
3.35951	4.1591
5.72913	3.77005
2.55381	5.45982
5.55713	4.16195
1.87696	2.92296
5.30221	2.51201
4.68647	2.67914
2.6628	2.69011
3.39468	3.8391
4.3425	3.7344
4.10134	1.69753
3.67997	4.01275
3.40062	4.32895
1.97577	3.9262
3.16946	3.77526
3.87705	4.65806
5.06011	3.89924
4.47065	2.89424
4.10718	3.57756
5.54025	3.13238
3.36267	4.0719
3.14358	6.38168
4.65417	4.10295
5.11319	3.66102
4.85134	3.21407
4.2849	2.74747
5.70404	4.05608
4.87864	4.64951
3.7952	3.32967
3.96168	4.65739
3.77883	4.99651
4.26509	2.2418
3.98939	4.20931
5.783	4.57363
2.911	4.04642
2.96125	4.87878
3.09099	4.72391
5.76378	5.10027
4.31387	4.40921
3.37671	3.51391
4.11423	3.82497
1.7426	4.55753
4.42131	5.451
2.30878	4.61149
3.99664	2.32687
2.76041	6.29613
6.21773	5.97292
4.25964	3.6171
3.04841	5.4079
2.51641	5.78674
1.71413	4.18788
2.99427	4.78885
3.38498	5.04378
3.38004	3.65977
4.25613	3.50305
2.48286	3.6511
3.8327	4.50143
4.24196	4.77578
4.19447	3.35857
4.50335	5.90866
3.87702	2.41771
4.31516	3.4027
1.95038	3.12407
4.90137	2.78746
4.27529	3.00491
3.6926	2.98198
4.30196	4.34102
0.70977	2.82339
4.21164	4.94611
4.6937	4.2849
1.8237	5.3957
3.34716	4.21875
4.46197	3.98557
6.31859	4.85101
3.59108	3.054
4.11898	4.30312
4.93201	3.96074
2.69353	4.43976
4.25651	3.5066
3.49877	4.73127
4.97187	5.07732
4.86519	4.98862
3.41871	4.01673
1.95197	3.24725
4.10947	5.00077
3.16969	4.22154
5.04531	2.63944
2.4233	3.61102
4.91165	4.14122
4.90525	2.43366
2.84034	4.95219
3.56447	4.88328
5.69212	3.0167
4.66031	4.94848
4.14718	5.40931
4.1106	4.23547
5.5625	5.45778
5.35713	4.95895
5.07153	2.68636
1.59555	2.91133
4.60055	4.08322
2.38717	4.20523
3.46406	4.99846
2.68255	4.77137
4.61782	2.66779
3.6462	3.91846
4.36961	4.08224
3.8504	4.46242
5.37725	4.30903
4.32399	3.61691
4.25824	5.231
4.18627	3.92973
0.488786	2.49813
4.09488	4.03148
4.6717	4.31424
3.29039	3.52998
6.0882	6.0679
5.14378	4.85059
4.30549	3.65191
2.59665	3.9459
3.13045	2.86188
4.05842	4.84257
3.69322	4.50139
4.22426	4.16071
3.52379	2.95972
5.39364	4.78988
5.51878	4.19973
5.00309	3.29346
3.3237	3.89741
4.32633	1.91339
1.12403	4.85081
4.19049	4.02848
3.14463	5.41223
4.98953	3.60481
3.76608	4.28069
4.3785	4.91797
3.53406	4.5837
4.8579	4.58562
4.70519	3.16677
4.85608	3.534
4.27184	2.51494
2.02228	4.70061
2.65089	3.52243
4.02191	5.80003
3.21551	4.78506
4.0939	5.70738
3.57809	4.50642
3.92733	1.91845
5.12956	4.01579
3.25556	5.12577
2.94807	3.63848
4.76562	3.99341
5.05971	3.67447
3.56965	3.53193
3.64539	4.73537
2.81724	4.94751
3.56019	4.35615
3.90241	3.96878
2.26942	3.92616
3.41423	3.6666
4.31554	3.73843
4.59925	2.70451
6.07075	4.46196
2.56232	2.17864
4.94433	4.02096
4.34269	3.35562
6.55929	4.62098
2.90124	3.8158
4.27922	4.39667
4.30365	3.87691
4.09581	3.91716
5.17505	3.50068
3.24014	5.61429
4.39619	2.70694
3.93847	2.71233
5.25751	3.29778
3.87036	4.61844
3.45279	2.50928
3.1631	3.78939
4.91075	5.2262
3.35308	3.62306
4.16922	3.14526
4.51902	5.66448
3.65191	4.15491
4.65596	3.8346
4.43048	3.21366
4.24714	3.9086
3.77937	5.80679
4.54603	3.50431
4.52553	3.92101
4.09057	3.14469
2.92195	3.56558
4.23018	3.9528
4.26368	4.96664
3.75835	4.46314
4.89778	4.41217
3.60476	5.22153
4.05117	4.78798
3.81363	4.29891
6.43732	4.84559
3.22881	2.88549
3.8896	5.41162
6.2106	3.13783
2.48268	3.76289
3.96564	5.54473
4.28864	3.2701
4.10143	1.88563
6.32319	4.42904
3.12879	3.09937
5.90586	3.07507
4.91367	3.97355
4.26997	2.97382
3.15529	3.76916
4.39956	2.26257
5.5606	4.35852
3.03479	4.67292
4.51274	2.01805
3.37034	3.47889
2.76699	3.29001
6.75526	6.50726
4.02731	2.64254
4.00865	4.83159
4.72384	4.36142
3.71847	3.08042
2.42396	3.71845
4.9842	4.78757
1.13056	5.49731
2.72285	3.16977
5.03757	6.77933
4.21768	2.71037
3.59395	4.76881
2.2771	5.13256
4.31864	2.54199
4.11898	4.1073
1.62838	3.04348
5.46293	4.49313
2.74596	2.66299
4.07887	4.07181
2.94861	5.34718
4.96636	3.80752
4.67161	2.1508
4.20159	3.74527
3.58709	5.14277
4.50085	5.02
4.3432	4.31282
3.50262	3.17355
4.12959	5.48982
3.82819	4.65679
3.82978	3.35792
3.09545	5.93792
3.82666	5.8278
3.92682	5.1301
4.01578	4.30292
4.71283	3.61642
3.43191	5.85691
3.33062	4.03773
4.47137	3.21158
3.97778	3.63422
3.95291	4.95201
3.28959	3.27676
3.04708	3.59708
3.86479	2.78863
2.87928	2.85029
2.37863	2.31563
5.82157	3.65735
3.91283	5.1715
4.98656	4.26854
3.78149	5.37586
4.98361	3.43161
2.35093	4.46103
3.2806	4.19721
5.31782	3.46555
3.21237	4.33251
3.59049	5.93218
2.91862	3.45994
1.81546	4.34222
4.27936	3.49755
3.13568	1.46039
3.6671	4.52306
2.95347	4.34612
4.32307	5.6152
2.9215	4.25861
5.6448	4.6649
5.21772	2.95465
3.35458	2.797
5.12276	4.71123
4.09302	3.72043
4.98487	5.5392
4.73551	4.70868
4.79329	4.25076
3.97312	4.87973
4.86284	4.82922
4.46391	3.35878
5.75959	4.40475
3.27466	3.95211
4.64063	3.42857
3.60843	3.26899
5.04561	4.89224
3.67419	4.90484
4.36888	2.46628
3.05452	4.54266
2.88463	1.64331
2.76621	4.03726
3.62363	4.0718
3.22519	5.05218
4.83275	2.84687
4.26383	4.77453
5.02356	2.7701
3.68402	4.37279
2.49593	4.2643
3.59214	4.64579
2.04316	4.35591
4.54102	2.6206
3.51743	3.472
4.00562	1.74585
4.62708	4.52836
4.504	2.72215
3.14819	4.76551
3.67575	3.81828
3.96695	4.2477
3.6175	3.95671
3.32349	4.65351
5.22057	2.26835
3.92068	3.7663
2.60868	4.51848
4.62825	4.58423
5.00469	2.66135
4.3775	4.12256
3.61075	1.84569
3.9771	2.57298
2.69726	5.01939
5.97053	4.26112
5.11469	6.3599
3.6813	3.99006
2.64344	2.57968
4.78842	3.27803
4.33925	5.7355
2.87569	6.3572
2.98019	3.59812
3.0767	3.85434
4.06439	4.43582
4.35569	4.78102
3.85096	4.06486
2.7163	3.068
4.16173	3.37789
3.64553	2.74736
5.06678	4.32863
5.17534	3.33905
3.66052	5.952
4.73833	4.87262
3.60042	2.84554
3.20125	3.28719
2.95917	4.63497
4.94372	3.45974
3.99108	4.43165
5.06854	5.01231
5.26993	4.1898
5.19634	6.15007
3.04972	3.18527
4.25335	3.47161
3.42656	3.85918
3.36697	4.19275
4.87748	4.92245
3.79191	3.51368
4.81022	5.10817
4.4814	4.03683
5.16374	3.70959
4.88639	4.21934
3.69326	4.52704
4.02257	3.81594
2.01331	4.2761
2.47534	5.78705
2.0324	2.89276
3.98844	3.62505
3.33393	4.17303
2.55283	5.02153
3.63824	2.93903
4.97778	3.54886
